id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2512.02854v1,From Dark Sectors to the Axion-Neutrino Connection,['H. B. Câmara'],"The Standard Model (SM) of particle physics provides a successful description of fundamental particles and their interactions but fails to explain phenomena such as neutrino oscillations, dark matter (DM), and the baryon asymmetry of the Universe. These clear signs of BSM physics motivate extensions introducing new particles and symmetries. Theoretical questions like the flavor puzzle and the strong CP problem further guide BSM frameworks. This thesis explores BSM scenarios based on two guiding principles: constructing unified frameworks that address multiple open problems in (astro)particle physics and cosmology, and emphasizing their experimental testability through detailed phenomenological analyses. This approach uncovers deep connections between seemingly disconnected sectors, offering a more complete view of fundamental physics. We investigate dark sector models for the origin of neutrino masses, proposing a novel setup: dark linear seesaw, which radiatively links neutrino mass generation to DM candidates and predicts charged lepton flavor violation. In these scenarios, dark sector particles can constitute WIMP DM, testable via direct detection experiments. We study spontaneous CP violation induced by a complex scalar singlet, acting as a common origin of low- and high-energy CP violating effects relevant for leptogenesis. We also analyze a Nelson-Barr model that solves the strong CP problem, generates a realistic CKM matrix radiatively, and yields scalar WIMP DM. Additionally, we present unified axion frameworks in which a colored sector radiatively generates neutrino masses. These models predict distinctive axion couplings to photons and fermions and accommodate axion DM in both pre- and post-inflationary cosmologies. Finally, we explore minimal flavored Peccei-Quinn symmetries that link the flavor puzzle, neutrino masses and DM within a predictive and testable framework.",['hep-ph'],2025-12-02T15:12:19+00:00,https://arxiv.org/pdf/2512.02854v1,arxiv://2512.02854v1,1,8
2510.17473v1,The Dark Matters at ICRC 2025,['Milena Crnogorčević'],"The dark matter track at ICRC~2025 showed a field in transition. Direct detection has entered the \emph{neutrino-floor era}, with XENONnT and PandaX-4T now limited by Solar neutrinos. Indirect searches have become truly \emph{multimessenger}, combining $γ$-rays, neutrinos, cosmic rays, and radio data under unified likelihoods and shared systematics. Non-WIMP candidates -- axions, sub-GeV particles, primordial black holes, macroscopic relics -- are becoming central. Across all fronts, progress depends as much on new detectors as on the coherence of shared data, methods, and analysis frameworks. Here, I distill the main experimental and conceptual shifts behind these trends, noting how assumptions have evolved since ICRC~2023 and where the next decisive advances are likely to come.","['astro-ph.HE', 'hep-ex', 'hep-ph']",2025-10-20T12:14:16+00:00,https://arxiv.org/pdf/2510.17473v1,arxiv://2510.17473v1,2,8
2509.20423v3,Dark matter: red or blue?,"['A. Acar', 'C. Isaacson', 'M. Bashkanov', 'D. P. Watts']","We report the first calculation of light scattering on heavy dark matter (DM) particles. We show that despite the fact that DM has no direct coupling to photons, the light-DM($γχ$) ($m_χ\sim 1$ TeV) cross-section is non-vanishing, albeit small. The cross section, calculated within the Standard Model (SM) framework, is particularly large in the case of heavy Weakly Interacting Massive Particles (WIMP). Combined with astrophysical observation, these results can constrain existing WIMP DM models in favor of lighter DM, $M_χ<<M_{\mathrm{Planck}}$, (axions, composite DM, etc..) or non-weakly interacting pure gravitational DM. We also show that the energy dependence of light scattering on dark matter should make the DM colored - red in the case of weak-DM and blue for the gravitational-DM, when a white background light is passing through. Gravitational scattering of light on DM particles also leads to non-trivial polarization effects, which might be easier to detect than the deflection of light from the scattering on DM particles, $γχ\rightarrowγχ$.","['hep-ph', 'astro-ph.HE']",2025-09-24T15:52:19+00:00,https://arxiv.org/pdf/2509.20423v3,arxiv://2509.20423v3,3,8
2509.14897v3,Exploring dark matter with quantum-enhanced haloscopes and time projection chambers,['David Díez-Ibáñez'],"This thesis explores experimental and theoretical approaches to dark matter detection, from gas-based detectors to quantum sensors, tackling the challenge of identifying dark matter, which makes up 27% of the Universe's energy. It reviews astrophysical and cosmological evidence, highlights the Standard Model's limitations, and motivates searches for WIMPs, axions, and dark photons through direct, indirect, and collider-based strategies.
  The experimental work includes the Micromegas-based TREX-DM experiment for low-mass WIMPs, with studies of argon and neon-based gas mixtures, detector design, shielding, readout, and background suppression. GEM integration boosted gain by up to 45. A UV LED-based internal calibration system was developed for compact, low-background operation, while pressure-dependent gain studies optimized future low-background TPCs. The thesis also advances axion and dark photon searches via haloscopes and introduces the DarkQuantum prototype, a superconducting qubit coupled to microwave cavities for single-photon detection. This system enabled the most stringent exclusion limit on massive dark photon interactions at 5.051 GHz, demonstrating the feasibility of quantum-enhanced detectors.
  Overall, the work bridges classical and quantum detection techniques, advancing WIMP searches and pioneering compact quantum sensors for axion and dark photon detection, laying the foundation for future high-sensitivity dark matter experiments.","['astro-ph.IM', 'quant-ph']",2025-09-18T12:19:18+00:00,https://arxiv.org/pdf/2509.14897v3,arxiv://2509.14897v3,4,8
2504.20960v1,MINER Reactor Based Search for Axion-Like Particles Using Sapphire (Al2O3) Detectors,"['M. Mirzakhani', 'W. Baker', 'M. Chaudhuri', 'J. B. Dent', 'R. Dey', 'B. Dutta', 'V. Iyer', 'A. Jastram', 'V. K. S. Kashyap', 'A. Kubik', 'K. Lang', 'R. Mahapatra', 'S. Maludze', 'N. Mirabolfathi', 'B. Mohanty', 'D. Mondal', 'H. Neog', 'J. L. Newstead', 'M. Platt', 'S. Sahoo', 'J. Sander', 'L. E. Strigari', 'J. Walker']","The absence of definitive results for WIMP dark matter has sparked growing interest in alternative dark matter candidates, such as axions and Axion-Like Particles (ALPs), which also provide insight into the strong CP problem. The Mitchell Institute Neutrino Experiment at Reactor (MINER), conducted at the Nuclear Science Center of Texas A&M University, investigated ALPs near a 1 MW TRIGA nuclear reactor core, positioned approximately 4 meters away. This experiment employed cryogenic sapphire detectors with a low detection threshold (approximately 100 eV), equipped with a Transition Edge Sensor capable of detecting athermal phonons. Due to the low-background environment, we were able to exclude ALPs with axion-photon coupling and axion-electron coupling as small as \(g_{aγγ} = 10^{-5}\) and \(g_{aee} = 10^{-7}\), respectively. Energy depositions below 3 keV were not considered and remain blinded for our Coherent Elastic Neutrino Nucleus Scattering (CEvNS) analysis. This is the first result demonstrating the MINER experiment's potential to probe low-mass ALPs, enabled by its low-threshold detector and proximity to a reactor.",['hep-ex'],2025-04-29T17:32:20+00:00,https://arxiv.org/pdf/2504.20960v1,arxiv://2504.20960v1,5,8
2504.16228v2,Brazilian Report on Dark Matter 2024,"['I. F. M. Albuquerque', 'J. Alcaniz', 'A. Alves', 'J. Amaral', 'C. Bonifazi', 'H. A. Borges', 'S. Carneiro', 'L. Casarini', 'D. Cogollo', 'A. G. Dias', 'G. C. Dorsch', 'A. Esmaili', 'G. Gil da Silveira', 'C. Gobel', 'V. P. Gonçalves', 'A. S. Jesus', 'D. Hadjimichef', 'P. C. de Holanda', 'R. F. L. Holanda', 'E. Kemp', 'A. Lessa', 'A. Machado', 'M. V T. Machado', 'M. Makler', 'V. Marra', 'M. S. Mateus Junior', 'R. D. Matheus', 'P. G. Mercadante', 'A. A. Nepomuceno', 'R. M. P. Neves', 'C. Nishi', 'Y. M. Oviedo-Torres', 'N. Pinto', 'C. A. Pires', 'E. Polycarpo', 'F. S. Queiroz', 'T. Quirino', 'M. S. Rangel', 'P. Rebello Teles', 'D. C. Rodrigues', 'J. G. Rodrigues', 'P. S. Rodrigues da Silva', 'R. Rosenfeld', 'B. L. Sanchez-Vega', 'E. Segretto', 'R. Silva', 'D. R. da Silva', 'C. Siqueira', 'V. de Souza', 'S. Fonseca De Souza', 'T. R. F. P. Tomei', 'G. A. Valdiviesso', 'A. Viana', 'Y. Villamizar']","One of the key scientific objectives for the next decade is to uncover the nature of dark matter (DM). We should continue prioritizing targets such as weakly-interacting massive particles (WIMPs), Axions, and other low-mass dark matter candidates to improve our chances of achieving it. A varied and ongoing portfolio of experiments spanning different scales and detection methods is essential to maximize our chances of discovering its composition. This report paper provides an updated overview of the Brazilian community's activities in dark matter and dark sector physics over the past years with a view for the future. It underscores the ongoing need for financial support for Brazilian groups actively engaged in experimental research to sustain the Brazilian involvement in the global search for dark matter particles","['hep-ph', 'astro-ph.HE', 'hep-ex']",2025-04-22T19:48:02+00:00,https://arxiv.org/pdf/2504.16228v2,arxiv://2504.16228v2,6,8
2504.11595v1,Dark Matter Genesis,['Jeremy Mould'],"Recent discoveries of primordial black hole (PBH) candidates by means of high cadence microlensing open the way to a physical understanding of the formation of dark matter as a chapter in the thermal history of the Universe. Two complementary sites of PBH formation are considered, inflation and the early Universe at TeV to MeV energies. In the latter case the Friedman equation, together with the measurement of the mass of the PBH, reveal the threshold energy, the mass spectrum and the likely end point of this epoch. Some of the many recent exoplanet detections may conceivably have been detections of PBHs. When the Universe cools to MeV temperatures, larger mass PBH would form similarly, reaching the supermassive regime. The discovery of numerous supermassive black holes (SMBH) at high redshift with JWST fulfils this expectation. We corroborate the idea that Planck mass relics could be an important component of dark matter, and find that these are formed by PBH with initial mass less than approximately 6 x 10^{-16} M{_\odot} and cosmic temperature above 10^9 GeV. Although in some mass ranges PBH can only make up a modest fraction of Ωmatter, it is possible that all astrophysical dark matter, as distinct from axions and WIMPs, is of PBH origin.",['astro-ph.CO'],2025-04-15T20:18:24+00:00,https://arxiv.org/pdf/2504.11595v1,arxiv://2504.11595v1,7,8
2503.02607v5,Gravitational wave probes of particle dark matter: a review,['Andrew L. Miller'],"Various theories of dark matter predict distinctive astrophysical signatures in gravitational-wave sources that could be observed by ground- and space-based laser interferometers. Different candidates-including axions, dark photons, macroscopic dark matter, WIMPs, and dark-matter spikes-may appear in interferometer data via their coupling to gravity or the Standard Model, altering the measured gravitational-wave strain in distinct ways. Despite their differences, these candidates share two key features: (1) they can be probed through their effects on gravitational waves from inspiraling compact objects, isolated black holes, and neutron stars, or via direct interactions with detectors, and (2) their signatures likely persist far longer than the seconds-long mergers detected today, necessitating new data analysis methods beyond matched filtering. This review outlines these dark matter candidates, their observational signatures, and approaches for their detection.","['astro-ph.HE', 'gr-qc']",2025-03-04T13:29:15+00:00,https://arxiv.org/pdf/2503.02607v5,arxiv://2503.02607v5,8,8
